<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIR-TDG,60,20220103,110000,111.7000000,111.9800000,111.5600000,111.9400000,3512
AIR-TDG,60,20220103,120000,113.3200000,115.5200000,113.3200000,114.9200000,15706
AIR-TDG,60,20220103,130000,115.0000000,115.4200000,114.8000000,115.0200000,4725
AIR-TDG,60,20220103,140000,114.9800000,115.6800000,114.9800000,115.4400000,5791
AIR-TDG,60,20220103,150000,115.4200000,115.4800000,114.7800000,114.8800000,3182
AIR-TDG,60,20220103,160000,114.7000000,115.2600000,114.7000000,115.1200000,4664
AIR-TDG,60,20220103,170000,115.0600000,115.6800000,114.9000000,115.6800000,3042
AIR-TDG,60,20220103,180000,115.7000000,115.9000000,115.3800000,115.7400000,5338
AIR-TDG,60,20220103,190000,115.6600000,116.0600000,115.6200000,116.0600000,6032
AIR-TDG,60,20220103,200000,116.0600000,116.4800000,115.6600000,116.1200000,4523
AIR-TDG,60,20220103,210000,116.1800000,116.3800000,115.6800000,116.3600000,3169
AIR-TDG,60,20220103,220000,116.0000000,116.2600000,115.6000000,116.1800000,1019
AIR-TDG,60,20220103,230000,116.1800000,116.4000000,116.0600000,116.2800000,1887
AIR-TDG,60,20220104,000000,116.4800000,116.5400000,115.4000000,115.6000000,5476
AIR-TDG,60,20220104,010000,115.8600000,115.8600000,115.8600000,115.8600000,2
AIR-TDG,60,20220104,110000,116.3000000,116.5000000,116.0800000,116.2200000,1826
AIR-TDG,60,20220104,120000,117.0200000,117.3200000,115.9800000,117.0200000,7464
AIR-TDG,60,20220104,130000,116.9400000,117.2200000,116.6000000,116.9600000,2306
AIR-TDG,60,20220104,140000,117.0000000,118.0000000,117.0000000,118.0000000,9100
AIR-TDG,60,20220104,150000,117.8200000,118.4000000,117.8200000,118.2000000,5435
AIR-TDG,60,20220104,160000,118.3400000,118.5600000,118.2400000,118.5000000,8092
AIR-TDG,60,20220104,170000,118.5000000,118.9400000,118.4200000,118.8600000,4126
AIR-TDG,60,20220104,180000,118.8400000,119.5000000,118.8200000,119.4600000,9500
AIR-TDG,60,20220104,190000,119.4400000,119.7800000,118.5800000,118.5800000,9550
AIR-TDG,60,20220104,200000,118.5600000,118.9600000,118.0000000,118.3600000,6532
AIR-TDG,60,20220104,210000,118.3400000,118.5000000,118.0200000,118.1000000,3510
AIR-TDG,60,20220104,220000,118.1000000,118.7800000,118.1000000,118.3000000,953
