<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BCH/USD,60,20220101,010000,420.8100000,426.7700000,420.1800000,425.7000000,94
BTSX.BCH/USD,60,20220101,020000,428.1700000,431.1300000,428.1700000,430.4500000,94
BTSX.BCH/USD,60,20220101,030000,430.7000000,432.0800000,430.4300000,430.4300000,532
BTSX.BCH/USD,60,20220101,040000,431.3900000,435.1100000,431.3900000,434.9500000,153
BTSX.BCH/USD,60,20220101,050000,434.9800000,437.1900000,433.9500000,435.8300000,292
BTSX.BCH/USD,60,20220101,060000,435.2700000,436.3000000,434.4700000,434.5300000,86
BTSX.BCH/USD,60,20220101,070000,434.6000000,435.7700000,434.6000000,435.2200000,56
BTSX.BCH/USD,60,20220101,080000,435.5400000,435.5400000,432.3700000,432.7400000,51
BTSX.BCH/USD,60,20220101,090000,433.2900000,438.0000000,433.2900000,435.4300000,154
BTSX.BCH/USD,60,20220101,100000,435.7200000,436.0200000,433.7800000,433.7800000,16
BTSX.BCH/USD,60,20220101,110000,434.0200000,435.4200000,433.5500000,434.9900000,34
BTSX.BCH/USD,60,20220101,120000,435.2300000,437.4300000,434.5000000,436.7200000,92
BTSX.BCH/USD,60,20220101,130000,438.5100000,441.7800000,437.3100000,437.3100000,130
BTSX.BCH/USD,60,20220101,140000,439.3000000,439.3000000,434.1300000,435.7500000,99
BTSX.BCH/USD,60,20220101,150000,436.3700000,436.6400000,435.1900000,435.3800000,60
BTSX.BCH/USD,60,20220101,160000,435.9900000,438.8300000,435.9900000,438.1100000,61
BTSX.BCH/USD,60,20220101,170000,438.1400000,438.8900000,436.7600000,437.1900000,34
BTSX.BCH/USD,60,20220101,180000,437.1600000,441.7600000,436.7400000,440.9000000,59
BTSX.BCH/USD,60,20220101,190000,439.1700000,443.3200000,439.1700000,441.5300000,104
BTSX.BCH/USD,60,20220101,200000,441.7100000,444.3300000,441.7100000,442.9400000,105
BTSX.BCH/USD,60,20220101,210000,443.2100000,445.9300000,442.5900000,444.3100000,37
BTSX.BCH/USD,60,20220101,220000,444.6500000,444.8100000,443.4400000,443.9300000,14
BTSX.BCH/USD,60,20220101,230000,443.7200000,443.7200000,442.2700000,442.4900000,5
BTSX.BCH/USD,60,20220102,000000,443.9900000,445.0600000,443.5700000,444.1400000,27
BTSX.BCH/USD,60,20220102,010000,443.8400000,444.3600000,442.5500000,442.8100000,14
BTSX.BCH/USD,60,20220102,020000,442.3800000,443.6300000,442.3800000,443.1600000,18
BTSX.BCH/USD,60,20220102,030000,442.8300000,445.2700000,442.4700000,444.9800000,10
BTSX.BCH/USD,60,20220102,040000,444.9300000,447.0400000,443.4200000,446.6200000,33
BTSX.BCH/USD,60,20220102,050000,446.8400000,447.8700000,446.4400000,447.7300000,55
BTSX.BCH/USD,60,20220102,060000,448.1300000,449.6400000,448.0600000,449.6400000,66
BTSX.BCH/USD,60,20220102,070000,449.8200000,450.6800000,448.6100000,448.6100000,434
BTSX.BCH/USD,60,20220102,080000,448.5700000,449.5000000,444.2400000,444.6200000,106
BTSX.BCH/USD,60,20220102,090000,444.6200000,448.6000000,443.8300000,447.8300000,402
BTSX.BCH/USD,60,20220102,100000,447.2300000,447.5900000,446.5700000,446.9700000,24
BTSX.BCH/USD,60,20220102,110000,446.5400000,447.1500000,444.5500000,444.8300000,97
BTSX.BCH/USD,60,20220102,120000,444.4800000,446.6400000,444.3700000,446.6000000,132
BTSX.BCH/USD,60,20220102,130000,446.7600000,448.7300000,446.5300000,447.2900000,27
BTSX.BCH/USD,60,20220102,140000,447.1500000,448.4500000,446.3400000,446.3400000,108
BTSX.BCH/USD,60,20220102,150000,446.0400000,447.2700000,445.4000000,445.5800000,91
BTSX.BCH/USD,60,20220102,160000,445.0000000,448.0000000,445.0000000,447.0700000,202
BTSX.BCH/USD,60,20220102,170000,446.2300000,446.2300000,443.6100000,443.9700000,100
BTSX.BCH/USD,60,20220102,180000,443.9700000,446.5700000,443.7200000,445.6000000,20
BTSX.BCH/USD,60,20220102,190000,445.5600000,448.0600000,444.8800000,446.9800000,97
BTSX.BCH/USD,60,20220102,200000,447.5300000,451.6400000,447.1600000,450.7500000,77
BTSX.BCH/USD,60,20220102,210000,451.9500000,452.0100000,449.3300000,449.7700000,78
BTSX.BCH/USD,60,20220102,220000,449.0500000,449.4700000,445.0900000,446.5700000,112
BTSX.BCH/USD,60,20220102,230000,446.7400000,447.9700000,444.4500000,445.2000000,56
BTSX.BCH/USD,60,20220103,000000,444.9200000,446.4300000,444.2400000,446.0500000,232
BTSX.BCH/USD,60,20220103,010000,446.1200000,446.3800000,445.8600000,446.0500000,173
BTSX.BCH/USD,60,20220103,020000,445.3700000,447.5300000,445.3700000,447.0000000,149
