<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BMW-TDG,60,20220103,110000,88.8000000,89.4000000,88.7000000,88.7000000,3717
BMW-TDG,60,20220103,120000,88.9900000,91.0200000,88.8000000,90.7800000,3516
BMW-TDG,60,20220103,130000,90.8400000,90.9300000,90.6300000,90.7400000,2858
BMW-TDG,60,20220103,140000,90.7100000,91.5300000,90.7100000,91.4500000,12813
BMW-TDG,60,20220103,150000,91.4800000,91.5400000,91.2500000,91.2500000,2109
BMW-TDG,60,20220103,160000,91.3200000,91.3200000,91.0100000,91.0100000,1519
BMW-TDG,60,20220103,170000,91.0300000,91.0500000,90.8800000,90.8800000,1167
BMW-TDG,60,20220103,180000,90.8000000,91.2500000,90.7600000,91.0700000,2151
BMW-TDG,60,20220103,190000,91.0400000,91.7500000,91.0400000,91.3600000,4002
BMW-TDG,60,20220103,200000,91.4000000,91.5400000,91.1000000,91.2900000,641
BMW-TDG,60,20220103,210000,91.4700000,91.5700000,90.8200000,91.2100000,2308
BMW-TDG,60,20220103,220000,91.2000000,91.3900000,91.1000000,91.2100000,275
BMW-TDG,60,20220103,230000,91.4400000,91.4800000,91.2100000,91.3700000,564
BMW-TDG,60,20220104,000000,91.1700000,91.6900000,91.1700000,91.3700000,2100
BMW-TDG,60,20220104,010000,91.5900000,91.5900000,91.5900000,91.5900000,2
BMW-TDG,60,20220104,110000,91.7400000,91.7500000,91.5800000,91.5800000,925
BMW-TDG,60,20220104,120000,91.9300000,92.2900000,91.2500000,91.9200000,6359
BMW-TDG,60,20220104,130000,91.9500000,92.3500000,91.9500000,91.9900000,3545
BMW-TDG,60,20220104,140000,92.1800000,93.0900000,92.1400000,93.0600000,5236
BMW-TDG,60,20220104,150000,93.0000000,93.4900000,92.9500000,93.4500000,5035
BMW-TDG,60,20220104,160000,93.3300000,93.6600000,93.3300000,93.5400000,2003
BMW-TDG,60,20220104,170000,93.6700000,93.8500000,93.5600000,93.6500000,3436
BMW-TDG,60,20220104,180000,93.6800000,93.8900000,93.2800000,93.7400000,3710
BMW-TDG,60,20220104,190000,93.5900000,94.1500000,93.5100000,93.9500000,8667
BMW-TDG,60,20220104,200000,93.8900000,94.2200000,93.8400000,93.9000000,3798
BMW-TDG,60,20220104,210000,93.8000000,94.3000000,93.8000000,94.2000000,4303
BMW-TDG,60,20220104,220000,94.1300000,94.4100000,93.9800000,94.2500000,2632
BMW-TDG,60,20220104,230000,94.0400000,94.3900000,94.0000000,94.1000000,1024
BMW-TDG,60,20220105,000000,94.1200000,94.4100000,93.9700000,94.0900000,1032
BMW-TDG,60,20220105,010000,94.1900000,94.1900000,94.1900000,94.1900000,2
BMW-TDG,60,20220105,110000,94.0900000,94.3700000,93.5600000,94.3000000,6002
BMW-TDG,60,20220105,120000,93.7000000,94.8800000,93.7000000,94.3000000,5500
BMW-TDG,60,20220105,130000,94.2200000,95.3100000,94.2200000,94.4900000,9734
BMW-TDG,60,20220105,140000,94.5100000,95.4500000,94.4600000,95.0300000,12292
BMW-TDG,60,20220105,150000,95.0100000,95.3500000,94.8000000,95.2100000,4341
BMW-TDG,60,20220105,160000,94.9800000,95.4500000,94.9800000,95.2800000,4876
BMW-TDG,60,20220105,170000,95.4700000,95.9100000,95.4500000,95.9100000,5939
BMW-TDG,60,20220105,180000,95.9600000,95.9700000,95.2700000,95.3900000,4463
BMW-TDG,60,20220105,190000,95.5300000,96.3800000,95.5300000,96.3300000,10289
BMW-TDG,60,20220105,200000,96.3900000,96.3900000,95.8100000,95.8100000,6044
BMW-TDG,60,20220105,210000,95.7900000,96.1100000,95.5600000,95.6100000,5278
BMW-TDG,60,20220105,220000,95.5600000,95.9000000,95.5600000,95.6200000,1550
BMW-TDG,60,20220105,230000,95.6200000,95.8000000,95.4000000,95.7600000,2424
BMW-TDG,60,20220106,000000,95.4100000,95.4100000,94.4000000,94.4400000,6505
BMW-TDG,60,20220106,010000,94.4900000,94.4900000,94.4900000,94.4900000,2
BMW-TDG,60,20220106,110000,94.0600000,94.8900000,93.9000000,94.8700000,6017
BMW-TDG,60,20220106,120000,94.6700000,96.1400000,94.6700000,96.0700000,5871
BMW-TDG,60,20220106,130000,96.0900000,96.1900000,95.9400000,96.1500000,4561
BMW-TDG,60,20220106,140000,96.2200000,97.3300000,96.2200000,97.1600000,12157
BMW-TDG,60,20220106,150000,97.2000000,97.2100000,96.5000000,96.6800000,4763
BMW-TDG,60,20220106,160000,96.4900000,96.7000000,96.3800000,96.5100000,1788
BMW-TDG,60,20220106,170000,96.6700000,96.8400000,96.4800000,96.5100000,5677
BMW-TDG,60,20220106,180000,96.5900000,96.6900000,95.8600000,95.8600000,3293
BMW-TDG,60,20220106,190000,96.0000000,96.2900000,95.6500000,96.1500000,2595
BMW-TDG,60,20220106,200000,96.0500000,96.3400000,96.0000000,96.0400000,1510
BMW-TDG,60,20220106,210000,96.0400000,96.4600000,96.0400000,96.1700000,971
BMW-TDG,60,20220106,220000,96.2600000,96.4800000,96.0100000,96.0700000,1414
BMW-TDG,60,20220106,230000,96.1600000,96.1800000,95.8500000,96.1300000,2052
BMW-TDG,60,20220107,000000,95.9700000,96.2200000,95.8200000,96.0800000,948
BMW-TDG,60,20220107,010000,96.0000000,96.0000000,96.0000000,96.0000000,2
BMW-TDG,60,20220107,110000,95.9500000,96.2800000,95.8300000,95.9600000,3291
BMW-TDG,60,20220107,120000,96.1800000,96.5000000,95.7100000,95.8700000,7074
BMW-TDG,60,20220107,130000,95.9100000,96.5000000,95.8700000,95.9100000,5433
BMW-TDG,60,20220107,140000,95.9800000,96.0500000,95.5200000,95.9300000,5905
BMW-TDG,60,20220107,150000,95.9300000,96.1400000,95.6500000,95.6500000,2528
BMW-TDG,60,20220107,160000,95.5200000,95.7100000,95.4600000,95.5800000,5048
BMW-TDG,60,20220107,170000,95.5300000,95.5300000,95.1000000,95.3100000,2923
