<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20220101,010000,45904.2400000,46516.0100000,45774.7900000,46329.1900000,40
BTSX.BTC/USD,60,20220101,020000,46342.3400000,46560.8100000,46254.8100000,46322.7000000,34
BTSX.BTC/USD,60,20220101,030000,46322.7000000,46488.5700000,46140.0000000,46214.3700000,19
BTSX.BTC/USD,60,20220101,040000,46230.0000000,46737.0600000,46199.9000000,46650.6600000,28
BTSX.BTC/USD,60,20220101,050000,46656.0800000,46921.3000000,46560.8300000,46773.0800000,26
BTSX.BTC/USD,60,20220101,060000,46768.8500000,46928.9000000,46719.2200000,46808.1000000,21
BTSX.BTC/USD,60,20220101,070000,46818.0500000,46904.5400000,46768.8000000,46814.1600000,7
BTSX.BTC/USD,60,20220101,080000,46814.1600000,46877.8500000,46562.2700000,46706.1300000,65
BTSX.BTC/USD,60,20220101,090000,46700.2100000,47548.9300000,46676.7500000,47214.9200000,58
BTSX.BTC/USD,60,20220101,100000,47224.8400000,47327.2900000,46960.0000000,46984.8400000,5
BTSX.BTC/USD,60,20220101,110000,46978.7700000,47251.1400000,46901.2400000,47236.6500000,9
BTSX.BTC/USD,60,20220101,120000,47198.7800000,47337.1600000,47085.1300000,47122.7500000,2
BTSX.BTC/USD,60,20220101,130000,47134.4400000,47210.5600000,46942.3500000,47136.0300000,2
BTSX.BTC/USD,60,20220101,140000,47155.5200000,47294.2200000,46720.0000000,46897.0000000,103
BTSX.BTC/USD,60,20220101,150000,46857.8000000,47007.7000000,46760.0000000,46767.0800000,46
BTSX.BTC/USD,60,20220101,160000,46771.0900000,47150.0300000,46770.6700000,47097.8700000,2
BTSX.BTC/USD,60,20220101,170000,47103.3000000,47207.2700000,46947.5800000,47029.0600000,1
BTSX.BTC/USD,60,20220101,180000,47028.5000000,47105.9200000,46859.1900000,46929.4300000,3
BTSX.BTC/USD,60,20220101,190000,46917.4700000,47482.7200000,46880.5600000,47225.9100000,22
BTSX.BTC/USD,60,20220101,200000,47281.2400000,47548.9900000,47200.5600000,47280.6200000,11
BTSX.BTC/USD,60,20220101,210000,47299.1200000,47960.9800000,47259.7100000,47777.1100000,33
BTSX.BTC/USD,60,20220101,220000,47810.1800000,47853.9500000,47440.4700000,47587.7200000,7
BTSX.BTC/USD,60,20220101,230000,47609.2700000,47640.1100000,47301.0000000,47350.0300000,2
BTSX.BTC/USD,60,20220102,000000,47350.0300000,47581.2500000,47260.0000000,47426.6600000,5
BTSX.BTC/USD,60,20220102,010000,47443.8700000,47558.0000000,47285.0100000,47309.7200000,5
BTSX.BTC/USD,60,20220102,020000,47342.1300000,47513.7900000,47229.8600000,47444.7200000,11
BTSX.BTC/USD,60,20220102,030000,47473.2600000,47833.4800000,47289.1500000,47777.4200000,8
BTSX.BTC/USD,60,20220102,040000,47745.2500000,47784.9400000,47386.9100000,47638.6500000,5
BTSX.BTC/USD,60,20220102,050000,47657.8000000,47657.9100000,47335.1500000,47379.2100000,1
BTSX.BTC/USD,60,20220102,060000,47381.7300000,47459.0000000,47291.1400000,47387.6500000,2
BTSX.BTC/USD,60,20220102,070000,47384.7000000,47484.6800000,47277.0000000,47348.2900000,1
BTSX.BTC/USD,60,20220102,080000,47348.2900000,47436.0300000,46780.0000000,46912.6400000,34
BTSX.BTC/USD,60,20220102,090000,46918.6000000,47102.7300000,46842.5700000,47095.1000000,1
BTSX.BTC/USD,60,20220102,100000,47094.2400000,47239.0000000,47029.8100000,47155.8900000,12
BTSX.BTC/USD,60,20220102,110000,47111.7100000,47314.8700000,47102.2300000,47194.8100000,1
BTSX.BTC/USD,60,20220102,120000,47196.7500000,47243.7000000,46992.7000000,47238.2800000,3
BTSX.BTC/USD,60,20220102,130000,47225.7200000,47503.0300000,47165.8000000,47291.5400000,14
BTSX.BTC/USD,60,20220102,140000,47268.0000000,47354.2600000,47160.0000000,47201.7400000,0
BTSX.BTC/USD,60,20220102,150000,47203.0300000,47399.0000000,47190.9800000,47254.4500000,3
BTSX.BTC/USD,60,20220102,160000,47247.2200000,47446.1000000,47033.9300000,47308.8100000,8
