<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.ETH/USD,60,20220101,010000,3647.3500000,3697.5800000,3628.9300000,3688.7900000,2771
BTSX.ETH/USD,60,20220101,020000,3685.6900000,3712.9500000,3674.2500000,3682.8300000,313
BTSX.ETH/USD,60,20220101,030000,3682.9500000,3696.4000000,3674.4400000,3677.0000000,135
BTSX.ETH/USD,60,20220101,040000,3678.3900000,3727.8400000,3678.3900000,3724.6600000,223
BTSX.ETH/USD,60,20220101,050000,3724.3900000,3748.6400000,3714.6100000,3727.1600000,2320
BTSX.ETH/USD,60,20220101,060000,3726.2400000,3737.7900000,3722.3900000,3729.5700000,135
BTSX.ETH/USD,60,20220101,070000,3729.7100000,3736.9200000,3723.5700000,3723.8000000,75
BTSX.ETH/USD,60,20220101,080000,3725.0100000,3727.1900000,3708.2100000,3708.2100000,168
BTSX.ETH/USD,60,20220101,090000,3707.6000000,3762.4700000,3705.7700000,3737.4800000,67
BTSX.ETH/USD,60,20220101,100000,3738.7100000,3741.3400000,3710.5800000,3710.5800000,173
BTSX.ETH/USD,60,20220101,110000,3712.7000000,3724.6900000,3701.4200000,3713.1700000,349
BTSX.ETH/USD,60,20220101,120000,3709.9400000,3732.6100000,3706.8600000,3723.0200000,375
BTSX.ETH/USD,60,20220101,130000,3721.3500000,3729.9400000,3711.6600000,3718.4200000,53
BTSX.ETH/USD,60,20220101,140000,3719.8800000,3732.1400000,3676.5000000,3694.6100000,286
BTSX.ETH/USD,60,20220101,150000,3691.3000000,3710.3800000,3691.3000000,3696.6200000,215
BTSX.ETH/USD,60,20220101,160000,3696.4800000,3718.9700000,3696.3600000,3716.4700000,51
BTSX.ETH/USD,60,20220101,170000,3718.6700000,3725.0000000,3708.3400000,3713.1800000,101
BTSX.ETH/USD,60,20220101,180000,3711.9900000,3713.9000000,3696.0000000,3698.3900000,115
BTSX.ETH/USD,60,20220101,190000,3697.3100000,3745.9600000,3693.0000000,3727.2700000,258
BTSX.ETH/USD,60,20220101,200000,3725.5900000,3748.6000000,3718.8600000,3728.8200000,67
BTSX.ETH/USD,60,20220101,210000,3731.9700000,3764.8300000,3730.2500000,3762.6000000,104
BTSX.ETH/USD,60,20220101,220000,3765.3400000,3767.2100000,3740.6100000,3754.3000000,96
BTSX.ETH/USD,60,20220101,230000,3756.1700000,3758.6200000,3736.2600000,3750.5000000,37
BTSX.ETH/USD,60,20220102,000000,3747.3200000,3777.4000000,3741.1900000,3765.5800000,85
BTSX.ETH/USD,60,20220102,010000,3765.6700000,3777.7300000,3747.4700000,3749.4200000,214
BTSX.ETH/USD,60,20220102,020000,3749.4200000,3765.0400000,3741.1900000,3760.3400000,191
BTSX.ETH/USD,60,20220102,030000,3758.0200000,3772.5200000,3747.3400000,3768.1300000,41
