<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.LTC/USD,60,20220101,010000,144.2800000,146.6900000,144.2100000,146.1200000,1210
BTSX.LTC/USD,60,20220101,020000,146.2200000,147.1300000,145.9700000,146.2200000,761
BTSX.LTC/USD,60,20220101,030000,146.1700000,146.8400000,145.9700000,145.9700000,1129
BTSX.LTC/USD,60,20220101,040000,146.5000000,149.4400000,146.2300000,148.9600000,366
BTSX.LTC/USD,60,20220101,050000,148.3200000,149.6200000,148.3200000,148.7300000,126
BTSX.LTC/USD,60,20220101,060000,148.4300000,148.7500000,148.0900000,148.2300000,275
BTSX.LTC/USD,60,20220101,070000,148.0400000,148.2100000,147.7500000,147.7500000,224
BTSX.LTC/USD,60,20220101,080000,147.7700000,147.9000000,146.7600000,146.7600000,500
BTSX.LTC/USD,60,20220101,090000,146.9100000,149.2600000,146.7700000,148.2000000,330
BTSX.LTC/USD,60,20220101,100000,148.0700000,148.3700000,147.1700000,147.1700000,398
BTSX.LTC/USD,60,20220101,110000,147.3300000,148.3200000,146.9200000,148.2800000,361
BTSX.LTC/USD,60,20220101,120000,147.7800000,148.6200000,147.7500000,148.2000000,208
BTSX.LTC/USD,60,20220101,130000,148.0900000,148.4000000,147.4100000,147.9000000,303
BTSX.LTC/USD,60,20220101,140000,148.0400000,148.5100000,146.8100000,147.2200000,448
BTSX.LTC/USD,60,20220101,150000,147.3100000,147.8700000,147.3100000,147.5700000,252
BTSX.LTC/USD,60,20220101,160000,147.5000000,148.6200000,147.5000000,148.5000000,332
BTSX.LTC/USD,60,20220101,170000,148.1600000,148.4300000,147.8600000,147.9300000,86
BTSX.LTC/USD,60,20220101,180000,147.9800000,148.9000000,147.7900000,148.3700000,441
BTSX.LTC/USD,60,20220101,190000,148.4800000,150.0000000,148.4800000,149.7100000,328
BTSX.LTC/USD,60,20220101,200000,149.3700000,150.1800000,149.2900000,149.3200000,307
BTSX.LTC/USD,60,20220101,210000,149.3700000,150.9300000,149.1200000,150.4700000,256
BTSX.LTC/USD,60,20220101,220000,150.9000000,150.9000000,149.9500000,150.1200000,260
BTSX.LTC/USD,60,20220101,230000,150.0000000,150.0300000,149.7000000,149.7000000,70
BTSX.LTC/USD,60,20220102,000000,149.8500000,150.5400000,149.7000000,150.2900000,713
BTSX.LTC/USD,60,20220102,010000,150.2700000,150.6400000,149.8000000,149.8000000,599
BTSX.LTC/USD,60,20220102,020000,149.7600000,150.2100000,149.3500000,150.2100000,440
BTSX.LTC/USD,60,20220102,030000,149.7400000,150.9100000,149.7400000,150.9100000,335
BTSX.LTC/USD,60,20220102,040000,150.1200000,150.8700000,149.7200000,150.4600000,677
BTSX.LTC/USD,60,20220102,050000,150.1300000,150.1300000,149.5300000,149.7800000,425
BTSX.LTC/USD,60,20220102,060000,149.5600000,149.8700000,149.4900000,149.5900000,97
BTSX.LTC/USD,60,20220102,070000,149.6200000,150.6700000,149.4800000,150.2300000,327
BTSX.LTC/USD,60,20220102,080000,150.2600000,150.3400000,147.9000000,148.1500000,265
BTSX.LTC/USD,60,20220102,090000,148.3800000,149.2100000,148.3800000,149.2100000,377
BTSX.LTC/USD,60,20220102,100000,149.1500000,149.3900000,148.8600000,149.2300000,421
BTSX.LTC/USD,60,20220102,110000,149.0400000,149.6200000,149.0400000,149.3700000,207
BTSX.LTC/USD,60,20220102,120000,149.1900000,149.5100000,148.8100000,149.5100000,207
BTSX.LTC/USD,60,20220102,130000,149.6200000,150.3400000,149.4400000,150.0300000,270
BTSX.LTC/USD,60,20220102,140000,150.0900000,150.0900000,149.3200000,149.5000000,306
BTSX.LTC/USD,60,20220102,150000,149.5300000,149.9800000,149.2800000,149.5300000,335
BTSX.LTC/USD,60,20220102,160000,149.5300000,150.2800000,148.8800000,149.9300000,550
BTSX.LTC/USD,60,20220102,170000,149.9100000,149.9700000,149.3800000,149.5600000,312
BTSX.LTC/USD,60,20220102,180000,149.5300000,150.2100000,149.5300000,149.8700000,160
BTSX.LTC/USD,60,20220102,190000,150.0000000,151.7800000,150.0000000,151.4500000,614
BTSX.LTC/USD,60,20220102,200000,151.4700000,153.0300000,151.2200000,152.8800000,781
BTSX.LTC/USD,60,20220102,210000,153.1200000,153.2300000,152.0400000,152.5600000,439
BTSX.LTC/USD,60,20220102,220000,152.1700000,152.3700000,150.0000000,151.3200000,571
BTSX.LTC/USD,60,20220102,230000,151.2200000,151.9200000,150.8700000,151.3400000,492
BTSX.LTC/USD,60,20220103,000000,150.8900000,151.7100000,150.8500000,151.2500000,190
BTSX.LTC/USD,60,20220103,010000,150.9100000,151.4000000,150.3900000,150.3900000,169
BTSX.LTC/USD,60,20220103,020000,150.5100000,151.3200000,150.5100000,151.1800000,741
BTSX.LTC/USD,60,20220103,030000,151.2200000,151.8100000,151.1500000,151.1500000,517
BTSX.LTC/USD,60,20220103,040000,151.0500000,151.0700000,150.5400000,150.8300000,505
BTSX.LTC/USD,60,20220103,050000,150.5600000,150.8000000,149.8600000,150.2900000,75
BTSX.LTC/USD,60,20220103,060000,150.2200000,150.3400000,149.6600000,150.0800000,358
BTSX.LTC/USD,60,20220103,070000,150.1500000,150.3400000,149.4500000,149.6900000,158
BTSX.LTC/USD,60,20220103,080000,149.5600000,150.2800000,149.4700000,149.7700000,125
BTSX.LTC/USD,60,20220103,090000,149.7000000,150.9600000,149.7000000,150.6000000,389
BTSX.LTC/USD,60,20220103,100000,150.4500000,150.4500000,149.6300000,149.6300000,346
BTSX.LTC/USD,60,20220103,110000,149.6300000,150.1200000,149.6300000,150.1200000,788
BTSX.LTC/USD,60,20220103,120000,150.3000000,150.3400000,149.7200000,149.8100000,491
BTSX.LTC/USD,60,20220103,130000,150.0200000,150.2900000,149.0700000,149.6900000,779
BTSX.LTC/USD,60,20220103,140000,149.8700000,150.5900000,149.8700000,150.3000000,427
BTSX.LTC/USD,60,20220103,150000,150.4300000,151.0600000,150.2600000,150.8700000,493
BTSX.LTC/USD,60,20220103,160000,150.9900000,151.0500000,150.1000000,150.5300000,756
BTSX.LTC/USD,60,20220103,170000,150.5600000,151.1000000,150.2700000,150.4500000,727
BTSX.LTC/USD,60,20220103,180000,150.6000000,151.0200000,149.4900000,149.5600000,654
BTSX.LTC/USD,60,20220103,190000,149.8800000,150.1300000,148.3300000,148.6300000,1030
BTSX.LTC/USD,60,20220103,200000,148.7900000,148.9000000,147.3100000,148.1500000,1181
BTSX.LTC/USD,60,20220103,210000,147.9700000,149.1900000,147.9000000,148.4600000,734
