<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NFLX-RM,60,20220103,080000,45251.0000000,45386.0000000,45250.0000000,45386.0000000,10
NFLX-RM,60,20220103,090000,45572.0000000,45572.0000000,45572.0000000,45572.0000000,1
NFLX-RM,60,20220103,100000,45321.0000000,45486.0000000,45320.0000000,45486.0000000,4
NFLX-RM,60,20220103,110000,45408.0000000,45409.0000000,45252.0000000,45252.0000000,13
NFLX-RM,60,20220103,120000,45252.0000000,45252.0000000,44756.0000000,44756.0000000,60
NFLX-RM,60,20220103,130000,44828.0000000,45013.0000000,44828.0000000,44832.0000000,28
NFLX-RM,60,20220103,140000,44814.0000000,44889.0000000,44814.0000000,44889.0000000,14
NFLX-RM,60,20220103,150000,44900.0000000,44912.0000000,44877.0000000,44877.0000000,27
NFLX-RM,60,20220103,160000,44882.0000000,44937.0000000,44877.0000000,44937.0000000,41
NFLX-RM,60,20220103,170000,45000.0000000,45000.0000000,44937.0000000,44937.0000000,24
NFLX-RM,60,20220103,180000,44920.0000000,45154.0000000,44498.0000000,44498.0000000,90
NFLX-RM,60,20220103,190000,44712.0000000,44778.0000000,44501.0000000,44778.0000000,23
NFLX-RM,60,20220103,200000,44778.0000000,44778.0000000,44130.0000000,44185.0000000,55
NFLX-RM,60,20220103,210000,44130.0000000,44402.0000000,44022.0000000,44247.0000000,36
NFLX-RM,60,20220103,220000,44247.0000000,44590.0000000,44247.0000000,44590.0000000,33
NFLX-RM,60,20220103,230000,44646.0000000,44646.0000000,44552.0000000,44552.0000000,14
NFLX-RM,60,20220104,000000,44552.0000000,44597.0000000,44530.0000000,44597.0000000,19
NFLX-RM,60,20220104,090000,44956.0000000,44956.0000000,44956.0000000,44956.0000000,1
NFLX-RM,60,20220104,100000,44797.0000000,44943.0000000,44795.0000000,44828.0000000,9
NFLX-RM,60,20220104,110000,44669.0000000,44826.0000000,44669.0000000,44826.0000000,4
NFLX-RM,60,20220104,120000,44774.0000000,44926.0000000,44700.0000000,44906.0000000,27
NFLX-RM,60,20220104,130000,44853.0000000,44972.0000000,44831.0000000,44972.0000000,48
NFLX-RM,60,20220104,140000,44980.0000000,45100.0000000,44972.0000000,45100.0000000,47
NFLX-RM,60,20220104,150000,45181.0000000,45181.0000000,45127.0000000,45168.0000000,15
NFLX-RM,60,20220104,160000,45168.0000000,45254.0000000,45168.0000000,45254.0000000,20
NFLX-RM,60,20220104,170000,45215.0000000,45216.0000000,45214.0000000,45215.0000000,7
NFLX-RM,60,20220104,180000,45314.0000000,45321.0000000,44574.0000000,44574.0000000,72
NFLX-RM,60,20220104,190000,44622.0000000,44784.0000000,44132.0000000,44132.0000000,77
NFLX-RM,60,20220104,200000,44113.0000000,44256.0000000,43850.0000000,44071.0000000,54
NFLX-RM,60,20220104,210000,44030.0000000,44108.0000000,43900.0000000,44108.0000000,8
NFLX-RM,60,20220104,220000,44131.0000000,44131.0000000,43900.0000000,43900.0000000,8
NFLX-RM,60,20220104,230000,43873.0000000,44200.0000000,43873.0000000,44200.0000000,20
NFLX-RM,60,20220105,000000,44244.0000000,44500.0000000,44244.0000000,44500.0000000,24
NFLX-RM,60,20220105,080000,44652.0000000,44652.0000000,44650.0000000,44650.0000000,3
NFLX-RM,60,20220105,090000,44650.0000000,44756.0000000,44650.0000000,44756.0000000,2
NFLX-RM,60,20220105,100000,44724.0000000,44724.0000000,44383.0000000,44383.0000000,16
NFLX-RM,60,20220105,110000,44351.0000000,44597.0000000,44350.0000000,44564.0000000,30
NFLX-RM,60,20220105,120000,44646.0000000,44646.0000000,44645.0000000,44646.0000000,4
NFLX-RM,60,20220105,130000,44645.0000000,44647.0000000,44645.0000000,44647.0000000,19
NFLX-RM,60,20220105,140000,44646.0000000,44646.0000000,44646.0000000,44646.0000000,1
NFLX-RM,60,20220105,150000,44649.0000000,44649.0000000,44649.0000000,44649.0000000,1
NFLX-RM,60,20220105,160000,44670.0000000,44670.0000000,44668.0000000,44670.0000000,4
NFLX-RM,60,20220105,170000,44688.0000000,44774.0000000,44670.0000000,44774.0000000,5
NFLX-RM,60,20220105,180000,44759.0000000,44781.0000000,44311.0000000,44570.0000000,77
NFLX-RM,60,20220105,190000,44444.0000000,44444.0000000,44311.0000000,44373.0000000,15
NFLX-RM,60,20220105,200000,44373.0000000,44430.0000000,44300.0000000,44426.0000000,7
NFLX-RM,60,20220105,210000,44335.0000000,44351.0000000,44000.0000000,44000.0000000,26
NFLX-RM,60,20220105,220000,43900.0000000,43909.0000000,43700.0000000,43700.0000000,26
NFLX-RM,60,20220105,230000,43996.0000000,44139.0000000,43839.0000000,43839.0000000,20
