<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.NKE-RM:TQBD,60,20220114,000000,150.0100000,150.0100000,149.8800000,149.8800000,15
MOEX.NKE-RM:TQBD,60,20220118,120000,146.4200000,146.4200000,145.7900000,145.7900000,2
MOEX.NKE-RM:TQBD,60,20220118,200000,147.8800000,147.8800000,147.8800000,147.8800000,16
MOEX.NKE-RM:TQBD,60,20220124,140000,140.9500000,140.9500000,140.9500000,140.9500000,1
MOEX.NKE-RM:TQBD,60,20220126,230000,144.6300000,144.6300000,144.5800000,144.5800000,134
MOEX.NKE-RM:TQBD,60,20220127,000000,144.0800000,144.0800000,144.0800000,144.0800000,55
MOEX.NKE-RM:TQBD,60,20220127,190000,146.5700000,146.5700000,146.5700000,146.5700000,79
MOEX.NKE-RM:TQBD,60,20220201,000000,147.7300000,147.7300000,147.7300000,147.7300000,2
MOEX.NKE-RM:TQBD,60,20220211,220000,140.9800000,140.9800000,140.6500000,140.6500000,108
MOEX.NKE-RM:TQBD,60,20220215,180000,144.9000000,144.9000000,144.9000000,144.9000000,5
MOEX.NKE-RM:TQBD,60,20220216,230000,145.2700000,145.2700000,145.2700000,145.2700000,1
MOEX.NKE-RM:TQBD,60,20220222,130000,140.1800000,140.1800000,140.1800000,140.1800000,1
