<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.NVDA-RM:TQBD,60,20220103,160000,298.6700000,298.6700000,298.6700000,298.6700000,7
MOEX.NVDA-RM:TQBD,60,20220103,180000,300.0000000,300.0000000,300.0000000,300.0000000,23
MOEX.NVDA-RM:TQBD,60,20220103,210000,302.2300000,302.3000000,302.2300000,302.3000000,60
MOEX.NVDA-RM:TQBD,60,20220104,190000,289.6800000,289.6800000,289.6800000,289.6800000,10
MOEX.NVDA-RM:TQBD,60,20220104,200000,286.3300000,288.3700000,286.3300000,287.9900000,30
MOEX.NVDA-RM:TQBD,60,20220104,210000,286.4400000,286.6500000,286.4400000,286.6500000,2
MOEX.NVDA-RM:TQBD,60,20220105,000000,288.7700000,288.7700000,288.7700000,288.7700000,1
MOEX.NVDA-RM:TQBD,60,20220106,090000,271.6800000,271.6800000,271.6800000,271.6800000,2
MOEX.NVDA-RM:TQBD,60,20220106,100000,275.2900000,275.2900000,275.2900000,275.2900000,10
MOEX.NVDA-RM:TQBD,60,20220106,150000,275.2200000,275.2200000,275.2200000,275.2200000,27
MOEX.NVDA-RM:TQBD,60,20220106,200000,279.9900000,279.9900000,279.9900000,279.9900000,26
MOEX.NVDA-RM:TQBD,60,20220106,210000,279.5000000,279.5000000,279.5000000,279.5000000,26
MOEX.NVDA-RM:TQBD,60,20220107,000000,283.3000000,283.3000000,283.3000000,283.3000000,26
MOEX.NVDA-RM:TQBD,60,20220107,110000,284.3000000,284.3000000,284.3000000,284.3000000,2
MOEX.NVDA-RM:TQBD,60,20220107,130000,283.6500000,283.6500000,283.6500000,283.6500000,3
MOEX.NVDA-RM:TQBD,60,20220107,150000,283.9900000,283.9900000,283.9900000,283.9900000,26
MOEX.NVDA-RM:TQBD,60,20220107,190000,272.1600000,272.1600000,272.1600000,272.1600000,1
MOEX.NVDA-RM:TQBD,60,20220107,220000,273.8700000,273.8700000,273.8700000,273.8700000,49
MOEX.NVDA-RM:TQBD,60,20220110,090000,274.4000000,274.4000000,274.4000000,274.4000000,1
MOEX.NVDA-RM:TQBD,60,20220110,100000,275.0400000,275.0400000,274.1900000,274.1900000,27
MOEX.NVDA-RM:TQBD,60,20220110,140000,270.0000000,270.0000000,270.0000000,270.0000000,1
MOEX.NVDA-RM:TQBD,60,20220110,160000,269.3400000,269.3400000,266.1700000,266.1700000,71
MOEX.NVDA-RM:TQBD,60,20220110,190000,258.3700000,258.3700000,258.3700000,258.3700000,1
MOEX.NVDA-RM:TQBD,60,20220111,080000,273.4800000,273.4800000,273.1500000,273.1500000,75
MOEX.NVDA-RM:TQBD,60,20220111,100000,273.7700000,273.8100000,273.7700000,273.8100000,50
MOEX.NVDA-RM:TQBD,60,20220111,120000,274.7000000,274.7000000,274.7000000,274.7000000,1
MOEX.NVDA-RM:TQBD,60,20220111,130000,274.7900000,274.8900000,274.7900000,274.8900000,2
MOEX.NVDA-RM:TQBD,60,20220111,140000,276.6300000,276.6300000,276.6300000,276.6300000,1
MOEX.NVDA-RM:TQBD,60,20220111,150000,275.5500000,275.5500000,275.5500000,275.5500000,1
MOEX.NVDA-RM:TQBD,60,20220111,180000,271.0100000,271.5000000,269.7100000,271.5000000,13
MOEX.NVDA-RM:TQBD,60,20220111,200000,272.6300000,279.6100000,272.6300000,279.6100000,72
MOEX.NVDA-RM:TQBD,60,20220112,080000,278.2000000,278.2000000,278.2000000,278.2000000,1
MOEX.NVDA-RM:TQBD,60,20220112,180000,281.9800000,281.9800000,281.9800000,281.9800000,3
MOEX.NVDA-RM:TQBD,60,20220112,200000,279.3100000,279.3100000,278.8400000,278.8400000,4
MOEX.NVDA-RM:TQBD,60,20220112,210000,279.1800000,280.2000000,279.1800000,280.2000000,4
MOEX.NVDA-RM:TQBD,60,20220112,220000,280.1900000,280.8400000,280.1900000,280.8400000,4
MOEX.NVDA-RM:TQBD,60,20220113,190000,276.9000000,276.9000000,272.1300000,272.1300000,18
MOEX.NVDA-RM:TQBD,60,20220113,200000,270.5200000,272.8400000,270.5000000,272.8400000,10
MOEX.NVDA-RM:TQBD,60,20220113,210000,268.0000000,268.0000000,267.0000000,267.7700000,4
MOEX.NVDA-RM:TQBD,60,20220113,220000,268.7300000,269.5700000,268.7300000,269.5700000,4
MOEX.NVDA-RM:TQBD,60,20220113,230000,267.6100000,267.7000000,267.4300000,267.7000000,3
MOEX.NVDA-RM:TQBD,60,20220114,200000,267.3900000,267.3900000,267.3500000,267.3500000,2
MOEX.NVDA-RM:TQBD,60,20220114,220000,265.2800000,265.2800000,265.2800000,265.2800000,1
MOEX.NVDA-RM:TQBD,60,20220118,110000,266.7700000,266.7700000,266.7700000,266.7700000,18
MOEX.NVDA-RM:TQBD,60,20220118,130000,262.0100000,262.7400000,261.4200000,262.7400000,5
MOEX.NVDA-RM:TQBD,60,20220118,140000,261.8100000,262.3100000,261.8100000,262.3100000,4
MOEX.NVDA-RM:TQBD,60,20220118,190000,265.8100000,265.8100000,265.8100000,265.8100000,1
MOEX.NVDA-RM:TQBD,60,20220118,210000,263.0000000,263.1400000,261.0000000,261.0000000,9
MOEX.NVDA-RM:TQBD,60,20220118,220000,260.4500000,260.7400000,260.3200000,260.7400000,6
MOEX.NVDA-RM:TQBD,60,20220118,230000,260.9200000,260.9200000,260.9200000,260.9200000,1
MOEX.NVDA-RM:TQBD,60,20220119,080000,260.9200000,260.9200000,260.9200000,260.9200000,31
MOEX.NVDA-RM:TQBD,60,20220119,090000,253.9100000,253.9100000,253.4000000,253.4000000,100
MOEX.NVDA-RM:TQBD,60,20220119,100000,255.1700000,255.2900000,253.7500000,254.0000000,158
MOEX.NVDA-RM:TQBD,60,20220119,110000,253.6400000,253.6400000,253.6400000,253.6400000,1
MOEX.NVDA-RM:TQBD,60,20220119,120000,254.2400000,254.2400000,254.2400000,254.2400000,1
MOEX.NVDA-RM:TQBD,60,20220119,200000,253.4600000,253.4600000,253.0000000,253.0000000,3
MOEX.NVDA-RM:TQBD,60,20220119,210000,254.0700000,254.0700000,254.0700000,254.0700000,1
MOEX.NVDA-RM:TQBD,60,20220119,230000,255.4000000,255.4000000,253.6500000,253.6500000,4
