<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
VOW3-TDG,60,20220103,110000,178.1000000,178.4800000,177.5200000,178.4800000,7271
VOW3-TDG,60,20220103,120000,178.0000000,181.9600000,177.4000000,181.1400000,20261
VOW3-TDG,60,20220103,130000,181.0800000,181.5400000,180.9400000,181.0400000,7020
VOW3-TDG,60,20220103,140000,181.0400000,182.2600000,180.9800000,182.0600000,5775
VOW3-TDG,60,20220103,150000,182.0600000,182.9000000,181.6200000,181.7800000,5571
VOW3-TDG,60,20220103,160000,181.9800000,181.9800000,181.2000000,181.5200000,4860
VOW3-TDG,60,20220103,170000,181.6000000,181.9200000,181.3600000,181.6200000,2287
VOW3-TDG,60,20220103,180000,181.6000000,182.7000000,181.1200000,182.0800000,7172
VOW3-TDG,60,20220103,190000,181.9800000,182.6200000,181.6600000,182.0200000,6218
VOW3-TDG,60,20220103,200000,182.0200000,182.0400000,181.0200000,181.9800000,5254
VOW3-TDG,60,20220103,210000,181.9800000,182.1200000,181.0200000,181.6000000,3389
VOW3-TDG,60,20220103,220000,181.5000000,181.9800000,181.3800000,181.9800000,2347
VOW3-TDG,60,20220103,230000,181.9800000,181.9800000,181.2000000,181.6800000,2404
VOW3-TDG,60,20220104,000000,181.0800000,181.9800000,181.0800000,181.9800000,1038
VOW3-TDG,60,20220104,010000,181.7600000,181.7600000,181.7600000,181.7600000,2
VOW3-TDG,60,20220104,110000,182.2800000,182.4400000,181.6400000,182.4400000,4224
VOW3-TDG,60,20220104,120000,182.0000000,184.2600000,181.7200000,183.0200000,14982
VOW3-TDG,60,20220104,130000,182.7400000,184.0600000,182.6600000,183.6800000,7219
VOW3-TDG,60,20220104,140000,183.8400000,185.3200000,183.7800000,185.2000000,18083
VOW3-TDG,60,20220104,150000,185.2000000,186.0200000,185.2000000,185.8600000,7950
VOW3-TDG,60,20220104,160000,185.7400000,186.3200000,185.6600000,185.9200000,8432
VOW3-TDG,60,20220104,170000,185.9800000,186.4800000,185.4600000,186.4800000,9335
VOW3-TDG,60,20220104,180000,186.5000000,188.4200000,186.4200000,187.4400000,17149
VOW3-TDG,60,20220104,190000,187.4200000,187.6600000,186.6600000,186.8800000,6998
VOW3-TDG,60,20220104,200000,186.6800000,186.9800000,186.4200000,186.9400000,5906
VOW3-TDG,60,20220104,210000,186.9800000,187.6200000,186.6000000,187.0200000,6970
VOW3-TDG,60,20220104,220000,187.3800000,187.6000000,186.6800000,187.1800000,2388
VOW3-TDG,60,20220104,230000,186.7200000,188.1800000,186.6600000,187.5400000,5319
VOW3-TDG,60,20220105,000000,188.0800000,188.5000000,187.5000000,188.4000000,4178
VOW3-TDG,60,20220105,010000,188.1000000,188.1000000,188.1000000,188.1000000,2
VOW3-TDG,60,20220105,110000,187.0000000,187.3000000,186.2000000,186.3200000,5529
VOW3-TDG,60,20220105,120000,187.7600000,188.7400000,187.3600000,188.0200000,7481
VOW3-TDG,60,20220105,130000,188.0200000,188.4600000,187.4400000,187.6400000,7204
VOW3-TDG,60,20220105,140000,187.6200000,188.8800000,187.6200000,187.9800000,9076
VOW3-TDG,60,20220105,150000,188.0000000,188.8600000,187.6200000,188.8000000,7317
VOW3-TDG,60,20220105,160000,188.9200000,189.1600000,188.3800000,188.5600000,6927
VOW3-TDG,60,20220105,170000,188.9400000,190.9000000,188.9000000,190.9000000,12384
VOW3-TDG,60,20220105,180000,190.8800000,191.1600000,189.1800000,189.4800000,12962
VOW3-TDG,60,20220105,190000,189.5000000,190.9800000,189.3200000,190.9200000,9008
VOW3-TDG,60,20220105,200000,190.9600000,190.9800000,190.1200000,190.5200000,7839
VOW3-TDG,60,20220105,210000,190.9800000,190.9800000,189.8800000,190.4200000,3431
VOW3-TDG,60,20220105,220000,190.3800000,190.8400000,189.5200000,190.5200000,4108
VOW3-TDG,60,20220105,230000,190.7800000,190.7800000,188.7200000,189.2400000,7109
VOW3-TDG,60,20220106,000000,188.7200000,189.1400000,187.4800000,188.0200000,12376
VOW3-TDG,60,20220106,010000,187.7000000,187.7000000,187.7000000,187.7000000,2
VOW3-TDG,60,20220106,110000,186.5000000,188.5800000,185.7000000,187.8000000,11210
VOW3-TDG,60,20220106,120000,188.1800000,189.1600000,187.0000000,189.1400000,6566
VOW3-TDG,60,20220106,130000,189.1000000,189.8800000,188.6800000,189.4600000,6881
VOW3-TDG,60,20220106,140000,189.6000000,191.9400000,189.4800000,191.8800000,14698
VOW3-TDG,60,20220106,150000,191.9000000,192.2400000,191.0200000,191.4600000,14315
VOW3-TDG,60,20220106,160000,191.5600000,191.5600000,190.4800000,191.0000000,5762
VOW3-TDG,60,20220106,170000,191.2200000,191.4200000,190.3000000,190.3400000,5286
VOW3-TDG,60,20220106,180000,190.4000000,190.7000000,189.2000000,189.2000000,5484
VOW3-TDG,60,20220106,190000,189.3000000,189.7400000,188.3800000,189.5200000,10115
VOW3-TDG,60,20220106,200000,189.6000000,189.6400000,188.6800000,189.6400000,3888
VOW3-TDG,60,20220106,210000,189.6600000,190.3800000,189.0600000,190.3000000,5506
VOW3-TDG,60,20220106,220000,190.0200000,190.3200000,189.7200000,189.7200000,2035
VOW3-TDG,60,20220106,230000,189.8800000,190.1800000,189.6200000,190.1400000,419
VOW3-TDG,60,20220107,000000,189.8400000,190.2200000,189.1400000,189.6200000,1629
VOW3-TDG,60,20220107,010000,189.8400000,189.8400000,189.8400000,189.8400000,2
VOW3-TDG,60,20220107,110000,189.6200000,189.9800000,189.0200000,189.6000000,3446
VOW3-TDG,60,20220107,120000,189.6000000,189.8000000,187.7600000,187.9000000,6854
VOW3-TDG,60,20220107,130000,187.8400000,189.7200000,187.7600000,188.6000000,4310
VOW3-TDG,60,20220107,140000,188.5400000,188.8000000,187.7000000,188.6000000,3006
VOW3-TDG,60,20220107,150000,188.5600000,189.0800000,188.0000000,188.0000000,1986
VOW3-TDG,60,20220107,160000,188.1600000,188.2400000,187.8200000,188.1200000,4769
VOW3-TDG,60,20220107,170000,187.8400000,187.9000000,186.5600000,186.6600000,5473
VOW3-TDG,60,20220107,180000,186.7600000,187.8000000,186.7600000,187.8000000,3416
VOW3-TDG,60,20220107,190000,187.8200000,187.9600000,186.4400000,186.5800000,3743
VOW3-TDG,60,20220107,200000,186.8000000,188.5000000,186.4800000,188.4600000,4743
VOW3-TDG,60,20220107,210000,188.1200000,188.6800000,187.5800000,188.0000000,2728
VOW3-TDG,60,20220107,220000,188.5800000,188.7000000,188.0200000,188.0200000,1284
VOW3-TDG,60,20220107,230000,188.0400000,188.3800000,187.7800000,188.1600000,670
VOW3-TDG,60,20220108,000000,188.1400000,188.6200000,187.8600000,188.4800000,273
VOW3-TDG,60,20220108,010000,188.1800000,188.1800000,188.1800000,188.1800000,2
VOW3-TDG,60,20220110,110000,188.7800000,189.1000000,188.4600000,189.1000000,5883
VOW3-TDG,60,20220110,120000,189.0400000,189.0400000,186.2000000,187.4200000,6178
VOW3-TDG,60,20220110,130000,187.2000000,189.2000000,187.2000000,188.9600000,4511
VOW3-TDG,60,20220110,140000,188.7600000,189.0800000,188.1600000,188.9200000,4118
VOW3-TDG,60,20220110,150000,189.1000000,190.7000000,187.8800000,190.3200000,3140
VOW3-TDG,60,20220110,160000,190.4800000,190.4800000,189.1600000,189.3600000,4471
VOW3-TDG,60,20220110,170000,189.3400000,189.4600000,188.6200000,189.2000000,3677
VOW3-TDG,60,20220110,180000,189.4000000,189.9200000,189.0600000,189.2600000,2857
VOW3-TDG,60,20220110,190000,188.9400000,189.0600000,186.8400000,187.5200000,6879
VOW3-TDG,60,20220110,200000,187.4800000,188.9000000,187.0200000,187.6400000,5222
VOW3-TDG,60,20220110,210000,188.0800000,188.0800000,187.4200000,188.0800000,1878
VOW3-TDG,60,20220110,220000,188.0800000,188.7400000,187.8200000,188.7400000,2395
VOW3-TDG,60,20220110,230000,188.7400000,188.9800000,188.2000000,188.9600000,2062
VOW3-TDG,60,20220111,000000,188.9800000,189.0600000,188.2200000,188.7800000,3413
VOW3-TDG,60,20220111,010000,188.9000000,188.9000000,188.9000000,188.9000000,2
VOW3-TDG,60,20220111,110000,188.8000000,189.1800000,188.4200000,188.5200000,3078
VOW3-TDG,60,20220111,120000,188.9200000,188.9200000,186.2000000,187.5400000,6937
VOW3-TDG,60,20220111,130000,187.6600000,187.7600000,186.9200000,187.0200000,3449
VOW3-TDG,60,20220111,140000,186.7200000,187.4200000,186.7200000,186.9000000,2688
VOW3-TDG,60,20220111,150000,186.9400000,186.9800000,186.4200000,186.8000000,2010
VOW3-TDG,60,20220111,160000,186.5400000,187.3200000,186.5400000,187.0000000,1350
VOW3-TDG,60,20220111,170000,186.5600000,187.0600000,186.5400000,186.8200000,3061
VOW3-TDG,60,20220111,180000,186.7800000,187.8000000,186.5800000,187.7000000,2855
VOW3-TDG,60,20220111,190000,187.7200000,188.2000000,187.6600000,188.0600000,3247
VOW3-TDG,60,20220111,200000,188.2000000,188.8800000,188.0600000,188.5800000,2394
VOW3-TDG,60,20220111,210000,188.5800000,188.5800000,188.4200000,188.5800000,672
VOW3-TDG,60,20220111,220000,188.5800000,189.0200000,188.4200000,189.0200000,788
VOW3-TDG,60,20220111,230000,188.4200000,189.0600000,188.4200000,189.0600000,721
VOW3-TDG,60,20220112,000000,189.1200000,189.1200000,188.6200000,189.1200000,977
VOW3-TDG,60,20220112,010000,188.9800000,188.9800000,188.9800000,188.9800000,2
VOW3-TDG,60,20220112,110000,189.1800000,190.1000000,189.0200000,190.1000000,10124
VOW3-TDG,60,20220112,120000,189.9800000,191.2000000,187.6200000,187.7000000,8775
VOW3-TDG,60,20220112,130000,187.6400000,189.7200000,187.6400000,189.4000000,5942
VOW3-TDG,60,20220112,140000,189.2400000,189.2400000,188.2400000,188.4400000,3128
VOW3-TDG,60,20220112,150000,188.7200000,189.9200000,188.5600000,189.9200000,2482
VOW3-TDG,60,20220112,160000,189.7400000,190.7000000,189.7400000,190.4800000,6241
VOW3-TDG,60,20220112,170000,190.2600000,190.8800000,189.2400000,189.5000000,4636
VOW3-TDG,60,20220112,180000,189.5000000,190.2600000,189.2800000,189.9000000,2589
VOW3-TDG,60,20220112,190000,189.7800000,190.0400000,188.1200000,188.4600000,5086
VOW3-TDG,60,20220112,200000,188.2400000,188.5800000,187.9400000,188.5800000,2991
VOW3-TDG,60,20220112,210000,188.2000000,188.5800000,188.0200000,188.5800000,379
VOW3-TDG,60,20220112,220000,188.5800000,188.5800000,188.0600000,188.0600000,440
VOW3-TDG,60,20220112,230000,188.5200000,188.5800000,188.0200000,188.3800000,1095
VOW3-TDG,60,20220113,000000,188.3800000,188.8000000,188.3200000,188.7600000,1348
VOW3-TDG,60,20220113,010000,188.4400000,188.4400000,188.4400000,188.4400000,2
VOW3-TDG,60,20220113,110000,188.3200000,188.6800000,188.0200000,188.0200000,2168
VOW3-TDG,60,20220113,120000,188.6800000,188.6800000,186.4000000,186.6800000,6911
VOW3-TDG,60,20220113,130000,186.8400000,187.5200000,186.2600000,187.2400000,6994
VOW3-TDG,60,20220113,140000,187.2600000,187.9400000,187.1000000,187.9400000,2585
VOW3-TDG,60,20220113,150000,188.0000000,189.1200000,187.7800000,188.8800000,5578
VOW3-TDG,60,20220113,160000,188.8000000,189.0000000,188.4200000,188.6400000,3003
VOW3-TDG,60,20220113,170000,188.8000000,190.0000000,188.6400000,189.3400000,7805
VOW3-TDG,60,20220113,180000,189.2800000,190.7000000,189.0000000,190.4800000,8309
VOW3-TDG,60,20220113,190000,190.5200000,191.0000000,189.4800000,189.7800000,7445
VOW3-TDG,60,20220113,200000,189.8600000,190.3000000,189.6600000,189.6600000,3010
VOW3-TDG,60,20220113,210000,189.9200000,190.0000000,188.7600000,189.0600000,3138
VOW3-TDG,60,20220113,220000,189.5800000,189.8200000,189.1200000,189.2800000,1128
VOW3-TDG,60,20220113,230000,189.9800000,190.0000000,189.1200000,189.7800000,1487
VOW3-TDG,60,20220114,000000,189.1800000,189.7800000,188.4000000,188.5400000,4191
VOW3-TDG,60,20220114,010000,188.5200000,188.5200000,188.5200000,188.5200000,2
VOW3-TDG,60,20220114,110000,188.6800000,189.4800000,188.0800000,188.6000000,5952
VOW3-TDG,60,20220114,120000,190.4600000,194.1200000,190.1400000,192.9600000,38029
VOW3-TDG,60,20220114,130000,193.0200000,194.7600000,192.8600000,193.4000000,18346
VOW3-TDG,60,20220114,140000,193.2800000,193.8200000,193.2000000,193.2400000,8787
VOW3-TDG,60,20220114,150000,193.2000000,194.1600000,192.9400000,194.1600000,4943
VOW3-TDG,60,20220114,160000,194.0000000,194.0000000,193.0800000,193.1600000,3951
VOW3-TDG,60,20220114,170000,192.9400000,192.9400000,192.2000000,192.5200000,11824
VOW3-TDG,60,20220114,180000,192.6400000,193.8600000,192.0200000,193.8000000,4187
VOW3-TDG,60,20220114,190000,193.7800000,194.4000000,193.5000000,193.8400000,5154
VOW3-TDG,60,20220114,200000,193.6600000,194.0600000,192.6800000,194.0600000,11245
VOW3-TDG,60,20220114,210000,194.0200000,194.2800000,193.6600000,194.2600000,5072
VOW3-TDG,60,20220114,220000,194.1400000,194.2600000,193.2000000,194.0000000,2205
