Дата;Цена;Откр.;Макс.;Мин.;Объём;Изм.
19.12.2022;5.806;6.167;6.264;5.767;0;-0.06
18.12.2022;6.168;6.136;6.177;6.126;0;-0.07
16.12.2022;6.600;6.888;6.888;6.219;116.640;-0.05
15.12.2022;6.970;6.371;7.036;6.358;139.780;0.08
14.12.2022;6.430;6.951;6.961;6.337;139.040;-0.07
13.12.2022;6.935;6.534;7.105;6.499;168.110;0.05
12.12.2022;6.587;6.950;7.058;6.487;171.430;0.05
09.12.2022;6.245;5.930;6.391;5.794;160.030;0.05
08.12.2022;5.962;5.814;6.164;5.770;154.500;0.04
07.12.2022;5.723;5.388;5.850;5.383;172.960;0.05
06.12.2022;5.469;5.642;5.674;5.337;131.230;-0.02
05.12.2022;5.577;5.900;6.052;5.556;167.670;-0.11
02.12.2022;6.281;6.829;6.839;6.221;115.610;-0.07
01.12.2022;6.738;6.966;7.213;6.708;94.560;-0.03
30.11.2022;6.930;7.264;7.305;6.806;107.310;-0.04
29.11.2022;7.235;7.319;7.421;7.092;101.680;0.08
28.11.2022;6.712;6.870;6.980;6.500;3.650;-0.04
25.11.2022;7.024;7.332;7.400;6.800;35.510;-0.02
24.11.2022;7.177;7.307;7.404;7.100;0;-0.02
23.11.2022;7.308;6.900;7.604;6.887;59.050;0.08
22.11.2022;6.779;6.703;6.976;6.457;73.120;0
21.11.2022;6.776;6.333;6.837;6.145;107.820;0.08
18.11.2022;6.303;6.383;6.475;6.045;102.560;-0.01
17.11.2022;6.369;6.205;6.547;6.162;106.770;0.03
16.11.2022;6.200;6.138;6.250;5.727;112.920;0.03
15.11.2022;6.034;6.065;6.203;5.841;76.930;0.02
14.11.2022;5.933;6.119;6.416;5.890;110.910;0.01
11.11.2022;5.879;6.165;6.505;5.775;110.490;-0.06
10.11.2022;6.239;5.950;6.262;5.764;101.640;0.06
09.11.2022;5.865;6.190;6.350;5.715;134.650;-0.04
08.11.2022;6.138;6.687;6.823;6.062;146.540;-0.12
07.11.2022;6.944;6.980;7.221;6.566;171.260;0.09
04.11.2022;6.400;5.935;6.510;5.893;117.250;0.07
03.11.2022;5.975;6.202;6.218;5.874;98.530;-0.05
02.11.2022;6.268;5.829;6.303;5.787;104.850;0.1
01.11.2022;5.714;6.270;6.309;5.614;136.650;-0.1
31.10.2022;6.355;5.832;6.400;5.823;128.750;0.12
28.10.2022;5.684;5.848;5.890;5.547;84.710;0.1
27.10.2022;5.186;5.703;5.703;4.948;1.730;-0.07
26.10.2022;5.606;5.729;5.748;5.347;36.780;0
25.10.2022;5.613;5.187;5.740;5.119;39.950;0.08
24.10.2022;5.199;4.970;5.259;4.750;69.670;0.05
21.10.2022;4.959;5.322;5.375;4.903;101.730;-0.07
20.10.2022;5.358;5.456;5.565;5.253;104.220;-0.02
19.10.2022;5.462;5.686;5.784;5.427;107.160;-0.05
18.10.2022;5.745;5.978;6.095;5.673;102.090;-0.04
17.10.2022;5.999;6.263;6.314;5.912;132.420;-0.07
14.10.2022;6.453;6.684;6.742;6.409;96.730;-0.04
13.10.2022;6.741;6.439;6.777;6.337;131.390;0.05
12.10.2022;6.435;6.601;6.803;6.399;112.380;-0.02
11.10.2022;6.596;6.512;6.671;6.362;106.890;0.03
10.10.2022;6.435;6.647;6.901;6.411;114.240;-0.05
07.10.2022;6.748;6.856;6.926;6.600;124.710;-0.03
06.10.2022;6.972;6.921;7.188;6.856;109.940;0.01
05.10.2022;6.930;6.830;7.022;6.627;80.870;0.01
04.10.2022;6.837;6.526;6.886;6.310;121.680;0.06
03.10.2022;6.470;6.800;6.829;6.305;104.480;-0.04
30.09.2022;6.766;6.895;7.044;6.705;97.370;-0.02
29.09.2022;6.874;7.029;7.139;6.599;85.720;0
28.09.2022;6.868;6.666;6.901;6.456;1.870;0.02
27.09.2022;6.760;7.055;7.240;6.740;130.920;-0.04
26.09.2022;7.014;7.017;7.126;6.692;81.080;0
23.09.2022;6.992;7.274;7.374;6.867;123.600;-0.03
22.09.2022;7.193;7.800;7.825;7.168;94.310;-0.08
21.09.2022;7.827;7.792;8.179;7.609;60.250;0.01
20.09.2022;7.772;7.929;8.037;7.703;42.910;0
19.09.2022;7.752;7.737;7.923;7.404;87.550;0
16.09.2022;7.764;8.298;8.319;7.717;96.570;-0.07
15.09.2022;8.324;9.073;9.117;8.204;127.210;-0.09
14.09.2022;9.114;8.391;9.238;8.325;137.210;0.1
13.09.2022;8.284;8.381;8.456;8.155;108.830;0
12.09.2022;8.249;8.026;8.406;7.855;106.170;0.03
09.09.2022;7.996;7.975;8.205;7.888;90.500;0.01
08.09.2022;7.954;7.883;8.057;7.774;0;0.01
07.09.2022;7.842;8.039;8.299;7.751;127.190;-0.04
06.09.2022;8.145;9.028;9.126;7.823;149.360;-0.07
05.09.2022;8.714;8.980;8.995;8.710;0;-0.03
04.09.2022;8.979;9.086;9.096;8.946;0;0.02
02.09.2022;8.786;9.190;9.240;8.619;103.170;-0.05
01.09.2022;9.262;9.133;9.394;9.010;94.240;0.01
31.08.2022;9.127;9.082;9.284;8.814;86.290;0.01
30.08.2022;9.042;9.262;9.300;8.865;76.600;-0.03
29.08.2022;9.353;9.670;9.682;9.034;1.200;0.01
26.08.2022;9.296;9.372;9.668;9.186;33.980;-0.01
25.08.2022;9.375;9.239;9.419;9.175;25.830;0.01
24.08.2022;9.300;9.196;9.408;9.063;72.190;0.02
23.08.2022;9.155;9.780;9.987;9.021;86.530;-0.05
22.08.2022;9.647;9.159;9.950;9.143;60.480;0.03
19.08.2022;9.336;9.201;9.395;8.870;69.810;0.02
18.08.2022;9.188;9.166;9.663;8.913;112.100;-0.01
17.08.2022;9.244;9.362;9.677;9.121;88.680;-0.01
16.08.2022;9.329;8.809;9.411;8.785;104.090;0.07
15.08.2022;8.728;8.679;8.936;8.403;80.220;0
12.08.2022;8.768;8.717;8.919;8.516;68.130;-0.01
11.08.2022;8.874;8.222;8.994;8.178;141.750;0.08
10.08.2022;8.202;7.858;8.267;7.705;111.810;0.05
09.08.2022;7.833;7.666;7.889;7.623;88.510;0.03
08.08.2022;7.589;7.876;7.917;7.532;117.790;-0.06
05.08.2022;8.064;8.151;8.248;7.898;111.700;-0.01
04.08.2022;8.122;8.281;8.450;7.825;102.540;-0.02
03.08.2022;8.266;7.671;8.480;7.550;134.210;0.07
02.08.2022;7.706;8.228;8.233;7.625;106.080;-0.07
01.08.2022;8.283;7.910;8.298;7.753;104.020;0.01
29.07.2022;8.229;8.155;8.388;8.010;77.770;0.01
28.07.2022;8.134;8.580;8.845;8.103;89.240;-0.05
27.07.2022;8.554;8.701;8.990;8.345;105.220;-0.03
26.07.2022;8.825;8.667;9.419;8.568;146.560;0.03
25.07.2022;8.571;8.273;8.704;8.202;79.050;0.05
22.07.2022;8.195;7.780;8.293;7.652;86.580;0.05
21.07.2022;7.815;7.769;8.045;7.485;84.550;-0.01
20.07.2022;7.899;7.200;7.925;7.057;75.270;0.1
19.07.2022;7.150;7.329;7.453;7.017;58.010;-0.03
18.07.2022;7.382;7.021;7.460;6.987;52.890;0.07
15.07.2022;6.926;6.584;7.047;6.351;49.320;0.06
14.07.2022;6.511;6.544;6.806;6.461;69.080;-0.01
13.07.2022;6.589;6.125;6.683;6.058;67.360;0.09
12.07.2022;6.021;6.395;6.647;5.895;73.230;-0.05
11.07.2022;6.319;6.314;6.590;6.160;70.940;0.05
08.07.2022;6.034;6.188;6.305;6.012;0;-0.04
07.07.2022;6.297;5.539;6.381;5.488;127.670;0.14
06.07.2022;5.510;5.460;5.737;5.380;73.510;0
05.07.2022;5.523;5.712;5.907;5.325;110.170;-0.06
04.07.2022;5.853;5.712;5.905;5.606;0;0.03
03.07.2022;5.709;5.701;5.734;5.678;0;0
01.07.2022;5.730;5.701;5.950;5.590;106.970;0.06
30.06.2022;5.424;6.428;6.602;5.357;182.580;-0.17
29.06.2022;6.498;6.632;6.833;6.405;82.210;-0.01
28.06.2022;6.551;6.449;6.765;6.386;2.460;0.01
27.06.2022;6.501;6.126;6.538;6.010;33.100;0.05
24.06.2022;6.220;6.228;6.337;6.021;26.570;0
23.06.2022;6.239;6.829;6.840;6.175;78.030;-0.09
22.06.2022;6.858;6.844;6.930;6.575;92.470;0.01
21.06.2022;6.808;6.800;6.976;6.554;120.010;0.01
20.06.2022;6.713;6.706;6.840;6.635;0;0
