Дата;Цена;Макс
06.12.2022;1783.35;1793.15
05.12.2022;1781.30;1822.90
02.12.2022;1809.60;1818.70
01.12.2022;1815.20;1818.40
30.11.2022;1759.90;1784.20
29.11.2022;1763.70;1773.40
28.11.2022;1755.30;1778.50
25.11.2022;1754.00;1761.20
24.11.2022;1755.35;1758.95
23.11.2022;1745.60;1754.90
22.11.2022;1739.90;1751.00
21.11.2022;1739.60;1755.00
18.11.2022;1754.40;1769.90
17.11.2022;1763.00;1777.60
16.11.2022;1775.80;1788.20
15.11.2022;1776.80;1791.80
14.11.2022;1776.90;1778.40
11.11.2022;1769.40;1775.60
10.11.2022;1753.70;1760.60
09.11.2022;1713.70;1725.80
08.11.2022;1716.00;1720.40
07.11.2022;1680.50;1685.60
04.11.2022;1676.60;1686.40
03.11.2022;1630.90;1643.20
02.11.2022;1650.00;1673.10
01.11.2022;1649.70;1660.30
31.10.2022;1640.70;1648.50
28.10.2022;1644.80;1670.90
27.10.2022;1660.30;1669.20
26.10.2022;1664.40;1674.00
25.10.2022;1653.30;1660.50
24.10.2022;1649.20;1666.30
21.10.2022;1651.50;1657.20
20.10.2022;1631.80;1644.30
19.10.2022;1629.00;1654.00
18.10.2022;1650.70;1660.40
17.10.2022;1658.90;1667.60
14.10.2022;1643.70;1672.10
13.10.2022;1677.00;1688.90
12.10.2022;1677.50;1685.10
11.10.2022;1686.00;1691.30
10.10.2022;1675.20;1707.40
07.10.2022;1709.30;1722.80
06.10.2022;1720.80;1734.20
05.10.2022;1720.80;1736.60
04.10.2022;1730.50;1738.70
03.10.2022;1702.00;1710.40
30.09.2022;1672.00;1684.40
29.09.2022;1668.60;1673.10
28.09.2022;1665.10;1666.00
27.09.2022;1631.10;1643.50
26.09.2022;1628.20;1651.00
23.09.2022;1650.00;1674.60
22.09.2022;1676.10;1688.00
21.09.2022;1670.50;1685.90
20.09.2022;1665.70;1682.30
19.09.2022;1672.60;1680.20
16.09.2022;1677.90;1680.00
15.09.2022;1671.40;1695.00
14.09.2022;1703.20;1709.70
13.09.2022;1712.00;1733.40
12.09.2022;1735.60;1737.30
09.09.2022;1723.60;1726.40
08.09.2022;1715.30;1725.50
07.09.2022;1722.80;1722.80
06.09.2022;1707.90;1719.70
05.09.2022;1724.80;1726.60
04.09.2022;1718.65;1723.75
02.09.2022;1717.70;1709.60
01.09.2022;1704.40;1708.00
31.08.2022;1721.40;1721.40
30.08.2022;1731.60;1731.60
29.08.2022;1740.50;1748.60
26.08.2022;1740.60;1762.30
25.08.2022;1761.80;1769.30
24.08.2022;1752.00;1759.70
23.08.2022;1751.50;1757.60
22.08.2022;1738.60;1752.30
19.08.2022;1753.00;1762.70
18.08.2022;1761.10;1775.90
17.08.2022;1766.50;1786.30
16.08.2022;1779.40;1787.60
15.08.2022;1787.90;1808.20
12.08.2022;1805.20;1808.60
11.08.2022;1796.80;1804.30
10.08.2022;1803.30;1814.40
09.08.2022;1801.50;1806.00
08.08.2022;1794.30;1795.50
05.08.2022;1780.50;1800.50
04.08.2022;1796.20;1801.00
03.08.2022;1766.10;1779.10
02.08.2022;1779.70;1794.80
01.08.2022;1777.60;1781.80
29.07.2022;1771.50;1774.20
28.07.2022;1759.00;1764.00
27.07.2022;1723.30;1743.00
26.07.2022;1721.90;1729.90
25.07.2022;1723.20;1734.30
22.07.2022;1731.40;1740.30
21.07.2022;1717.30;1722.60
20.07.2022;1703.90;1715.00
19.07.2022;1714.10;1719.10
18.07.2022;1713.80;1724.70
15.07.2022;1707.50;1716.70
14.07.2022;1709.90;1738.70
13.07.2022;1739.50;1748.20
12.07.2022;1728.90;1738.80
11.07.2022;1735.90;1744.70
08.07.2022;1746.70;1755.40
07.07.2022;1744.10;1748.10
06.07.2022;1741.30;1774.90
05.07.2022;1768.90;1817.00
04.07.2022;1763.90;1815.20
01.07.2022;1805.90;1816.80
30.06.2022;1812.00;1830.00
29.06.2022;1822.00;1822.00
28.06.2022;1821.20;1830.90
27.06.2022;1824.80;1842.80
24.06.2022;1830.30;1833.70
23.06.2022;1829.80;1848.90
22.06.2022;1838.40;1850.30
21.06.2022;1838.80;1848.40
20.06.2022;1838.80;1848.40
17.06.2022;1840.60;1861.50
16.06.2022;1849.90;1860.20
15.06.2022;1819.60;1845.40
14.06.2022;1813.50;1833.30
13.06.2022;1831.80;1882.50
10.06.2022;1875.50;1879.60
09.06.2022;1852.80;1857.80
08.06.2022;1856.50;1862.40
07.06.2022;1852.10;1858.20
06.06.2022;1843.70;1861.20
03.06.2022;1850.20;1878.60
02.06.2022;1871.40;1874.40
01.06.2022;1848.70;1853.00
31.05.2022;1848.40;1867.90
30.05.2022;1848.40;1867.90
27.05.2022;1857.30;1866.90
26.05.2022;1850.60;1855.00
25.05.2022;1849.20;1869.00
24.05.2022;1868.40;1871.30
23.05.2022;1850.60;1865.00
20.05.2022;1844.70;1848.80
19.05.2022;1844.00;1850.40
18.05.2022;1819.00;1825.10
17.05.2022;1821.90;1834.90
16.05.2022;1816.80;1828.00
13.05.2022;1811.30;1830.00
12.05.2022;1827.90;1859.60
11.05.2022;1857.10;1858.40
10.05.2022;1844.40;1866.60
09.05.2022;1862.00;1883.60
06.05.2022;1886.20;1892.00
05.05.2022;1879.00;1910.20
04.05.2022;1872.10;1889.20
03.05.2022;1873.90;1879.30
02.05.2022;1867.00;1894.50
29.04.2022;1915.10;1920.60
28.04.2022;1894.80;1894.80
27.04.2022;1888.70;1908.10
26.04.2022;1904.10;1912.20
25.04.2022;1896.00;1935.50
22.04.2022;1934.30;1957.80
21.04.2022;1948.20;1960.10
20.04.2022;1955.60;1960.90
19.04.2022;1959.00;1985.10
18.04.2022;1986.40;2003.00
14.04.2022;1974.90;1984.00
13.04.2022;1984.70;1985.80
12.04.2022;1976.10;1982.70
11.04.2022;1948.20;1974.60
08.04.2022;1945.60;1952.20
07.04.2022;1937.80;1941.70
06.04.2022;1923.10;1937.60
05.04.2022;1927.50;1948.90
04.04.2022;1934.00;1941.60
01.04.2022;1923.70;1944.50
31.03.2022;1954.00;1955.00
30.03.2022;1939.00;1943.40
29.03.2022;1915.20;1930.50
28.03.2022;1942.30;1962.00
25.03.2022;1956.90;1967.40
24.03.2022;1964.90;1969.50
23.03.2022;1940.20;1950.80
22.03.2022;1924.40;1941.70
21.03.2022;1932.50;1943.20
18.03.2022;1931.70;1948.30
17.03.2022;1946.00;1952.50
16.03.2022;1911.90;1932.70
15.03.2022;1932.60;1958.80
14.03.2022;1963.40;1990.00
11.03.2022;1987.60;2004.10
10.03.2022;2002.90;2015.70
09.03.2022;1990.70;2071.00
08.03.2022;2046.30;2078.70
07.03.2022;1998.70;2008.60
04.03.2022;1968.90;1974.00
03.03.2022;1938.10;1943.80
02.03.2022;1924.60;1951.10
01.03.2022;1945.30;1944.40
28.02.2022;1902.20;1919.90
25.02.2022;1889.20;1889.20
24.02.2022;1926.30;1976.50
23.02.2022;1910.40;1912.90
22.02.2022;1907.40;1918.30
21.02.2022;1907.40;1918.30
18.02.2022;1899.80;1905.00
17.02.2022;1902.00;1904.00
16.02.2022;1871.50;1874.60
15.02.2022;1856.20;1881.60
14.02.2022;1869.40;1876.50
11.02.2022;1842.10;1867.40
10.02.2022;1837.40;1843.30
09.02.2022;1836.60;1837.10
08.02.2022;1827.90;1829.90
07.02.2022;1821.80;1824.60
04.02.2022;1807.80;1815.80
03.02.2022;1804.10;1809.50
02.02.2022;1810.30;1812.00
01.02.2022;1801.50;1809.70
31.01.2022;1796.40;1800.90
28.01.2022;1786.60;1800.30
27.01.2022;1794.20;1822.50
26.01.2022;1831.00;1851.60
25.01.2022;1854.10;1855.60
24.01.2022;1843.40;1846.00
21.01.2022;1833.50;1844.80
20.01.2022;1844.30;1850.10
19.01.2022;1844.70;1845.10
18.01.2022;1814.10;1824.20
17.01.2022;1812.40;1822.90
14.01.2022;1818.30;1830.60
13.01.2022;1823.30;1827.80
12.01.2022;1829.10;1828.90
11.01.2022;1820.40;1824.40
10.01.2022;1800.70;1802.40
07.01.2022;1799.30;1800.00
