Дата;Цена;Макс
06.12.2022;79.71;83.68
05.12.2022;82.68;88.44
02.12.2022;85.57;87.91
01.12.2022;86.88;89.37
30.11.2022;85.43;85.67
29.11.2022;83.03;86
28.11.2022;83.19;84.1
25.11.2022;83.63;86.87
24.11.2022;85.34;85.54
23.11.2022;85.41;89.56
22.11.2022;88.36;89.9
21.11.2022;87.45;87.98
18.11.2022;87.62;90.63
17.11.2022;89.78;92.91
16.11.2022;92.86;94.79
15.11.2022;93.86;95.77
14.11.2022;93.14;96.95
11.11.2022;95.99;96.92
10.11.2022;93.67;94.32
09.11.2022;92.65;95.65
08.11.2022;95.36;98.3
07.11.2022;97.92;99.56
04.11.2022;98.57;98.81
03.11.2022;94.67;95.98
02.11.2022;96.16;96.5
01.11.2022;94.65;95.55
31.10.2022;94.83;96.47
28.10.2022;95.77;96.89
27.10.2022;96.96;97.27
26.10.2022;95.69;96.25
25.10.2022;91.74;92.48
24.10.2022;91.21;92.3
21.10.2022;91.34;91.72
20.10.2022;90.45;92.66
19.10.2022;90.56;90.95
18.10.2022;88.6;91.22
17.10.2022;90.18;91.79
14.10.2022;90.15;93.45
13.10.2022;94.57;94.92
12.10.2022;92.45;95.17
11.10.2022;94.29;96.46
10.10.2022;96.19;98.75
07.10.2022;97.92;98.58
06.10.2022;94.42;94.98
05.10.2022;93.37;93.96
04.10.2022;91.8;92.4
03.10.2022;88.86;89.82
30.09.2022;87.96;89.8
29.09.2022;88.49;90.12
28.09.2022;89.32;89.47
27.09.2022;84.87;85.84
26.09.2022;82.86;86.45
23.09.2022;85.03;89.88
22.09.2022;89.53;91.74
21.09.2022;88.8;92.23
20.09.2022;89.4;91.57
19.09.2022;92;92.57
16.09.2022;91.35;92.66
15.09.2022;90.84;94.66
14.09.2022;94.1;95.8
13.09.2022;93.17;95.53
12.09.2022;94;95.17
09.09.2022;92.84;93.12
08.09.2022;88.62;89.82
07.09.2022;88;93.8
06.09.2022;92.83;95.94
05.09.2022;95.74;96.99
02.09.2022;93.02;95.32
01.09.2022;92.36;95.68
31.08.2022;96.49;100.46
30.08.2022;97.84;103.48
29.08.2022;102.93;103.22
26.08.2022;99.01;100.1
25.08.2022;98.46;101.53
24.08.2022;100.34;100.89
23.08.2022;99.17;99.41
22.08.2022;95.81;96.66
19.08.2022;96.72;97.88
18.08.2022;96.59;97.42
17.08.2022;93.65;94.48
16.08.2022;92.34;95.95
15.08.2022;95.1;98.17
12.08.2022;98.15;100.38
11.08.2022;99.6;100.17
10.08.2022;97.4;97.97
09.08.2022;96.31;98.4
