Дата;Цена;Макс
06.12.2022;74.48;77.88
05.12.2022;77.4;82.71
04.12.2022;81.15;81.29
02.12.2022;80.3;82.19
01.12.2022;81.33;83.33
30.11.2022;80.56;81.34
29.11.2022;78.2;79.65
28.11.2022;77.24;77.84
25.11.2022;76.28;79.9
24.11.2022;77.95;78.19
23.11.2022;77.94;81.95
22.11.2022;80.95;82.36
21.11.2022;79.73;80.3
18.11.2022;80.08;82.64
17.11.2022;81.64;85.45
16.11.2022;85.59;87.51
15.11.2022;86.92;88.68
14.11.2022;85.87;89.84
11.11.2022;88.96;90.1
10.11.2022;86.47;87.35
09.11.2022;85.83;89.24
08.11.2022;88.91;92.17
07.11.2022;91.79;93.74
04.11.2022;92.61;92.87
03.11.2022;88.17;89.67
02.11.2022;90;90.36
01.11.2022;88.37;89.45
31.10.2022;86.53;88.65
28.10.2022;87.9;88.76
27.10.2022;89.08;89.79
26.10.2022;87.91;88.41
25.10.2022;85.32;86.03
24.10.2022;84.58;85.92
21.10.2022;85.05;85.9
20.10.2022;85.98;88.17
19.10.2022;85.55;86.2
18.10.2022;82.82;86.51
17.10.2022;85.46;87.12
14.10.2022;85.61;89.73
13.10.2022;89.11;89.66
12.10.2022;87.27;90.07
11.10.2022;89.35;91.35
10.10.2022;91.13;93.64
07.10.2022;92.64;93.31
06.10.2022;88.45;89.07
05.10.2022;87.76;88.42
04.10.2022;86.52;86.98
03.10.2022;83.63;84.56
30.09.2022;79.49;82.56
29.09.2022;81.23;82.94
28.09.2022;82.15;82.34
27.09.2022;78.5;79.51
26.09.2022;76.71;80.31
23.09.2022;78.74;83.92
22.09.2022;83.49;86
21.09.2022;82.94;86.68
20.09.2022;84.45;86.45
19.09.2022;85.73;86.22
16.09.2022;85.11;86.59
15.09.2022;85.1;89.15
14.09.2022;88.48;90.19
13.09.2022;87.31;89.31
12.09.2022;87.78;89.1
09.09.2022;86.79;87.2
08.09.2022;83.54;84.25
07.09.2022;81.94;87.76
06.09.2022;86.88;90.39
05.09.2022;88.96;90.37
04.09.2022;88.25;88.28
02.09.2022;86.87;89.66
01.09.2022;86.61;89.63
31.08.2022;89.55;92.73
30.08.2022;91.64;97.66
29.08.2022;97.01;97.37
26.08.2022;93.06;94.02
25.08.2022;92.52;95.76
24.08.2022;94.89;95.4
23.08.2022;93.74;94.22
22.08.2022;90.23;91.26
19.08.2022;90.77;92.09
18.08.2022;90.5;91.46
17.08.2022;88.11;89.16
16.08.2022;86.53;90.65
15.08.2022;89.41;92.1
12.08.2022;92.09;94.81
11.08.2022;94.34;95.05
10.08.2022;91.93;92.43
09.08.2022;90.5;92.65
08.08.2022;90.76;90.89
05.08.2022;89.01;90.76
04.08.2022;88.54;91.9
03.08.2022;90.66;96.57
02.08.2022;94.42;96.47
01.08.2022;93.89;98.65
29.07.2022;98.62;101.88
28.07.2022;96.42;99.84
27.07.2022;97.26;98.59
26.07.2022;94.98;99
25.07.2022;96.7;96.94
22.07.2022;94.7;97.95
21.07.2022;96.35;99.99
20.07.2022;102.26;104.39
19.07.2022;104.22;104.46
18.07.2022;102.6;102.8
15.07.2022;97.59;99.03
14.07.2022;95.78;97
13.07.2022;96.3;97.96
12.07.2022;95.84;103.49
11.07.2022;104.09;105.05
08.07.2022;104.79;105.24
07.07.2022;102.73;104.48
06.07.2022;98.53;102.14
05.07.2022;99.5;111.45
04.07.2022;110.4;110.77
03.07.2022;108.19;108.81
01.07.2022;108.43;109.34
30.06.2022;105.76;110.45
29.06.2022;109.78;114.05
28.06.2022;111.76;112.22
27.06.2022;109.57;110.54
24.06.2022;107.62;108.58
23.06.2022;104.27;107.05
22.06.2022;106.19;109.76
21.06.2022;110.65;112.47
20.06.2022;108.84;109.17
19.06.2022;108.94;109.34
17.06.2022;109.56;118.97
16.06.2022;117.59;118.08
15.06.2022;115.31;119.61
14.06.2022;118.93;123.68
13.06.2022;120.93;122.25
10.06.2022;120.67;122.75
09.06.2022;121.51;122.72
08.06.2022;122.11;123.18
07.06.2022;119.41;120.36
06.06.2022;118.5;120.99
03.06.2022;118.87;120.46
02.06.2022;116.87;117.77
01.06.2022;115.26;117.87
31.05.2022;114.67;119.98
30.05.2022;117.61;117.79
29.05.2022;115.61;115.81
27.05.2022;115.07;115.3
26.05.2022;114.09;114.83
25.05.2022;110.33;111.68
24.05.2022;109.77;111.43
23.05.2022;110.29;111.96
20.05.2022;113.23;114.04
19.05.2022;112.21;112.62
18.05.2022;109.59;115.42
17.05.2022;112.4;115.56
16.05.2022;114.2;114.9
13.05.2022;110.49;110.64
12.05.2022;106.13;107.37
11.05.2022;105.71;106.44
10.05.2022;99.76;104.16
09.05.2022;103.09;110.49
06.05.2022;109.77;111.18
05.05.2022;108.26;111.37
04.05.2022;107.81;108.61
03.05.2022;102.41;105.8
02.05.2022;105.17;105.94
29.04.2022;104.69;107.99
28.04.2022;105.36;105.68
27.04.2022;102.02;102.99
26.04.2022;101.7;102.78
25.04.2022;98.54;101.55
22.04.2022;102.07;104.22
21.04.2022;103.79;105.42
20.04.2022;102.75;104.16
19.04.2022;102.56;108.92
18.04.2022;108.21;109.81
14.04.2022;106.95;107.64
13.04.2022;104.25;104.47
12.04.2022;100.6;101.35
11.04.2022;94.29;98.52
08.04.2022;98.26;98.76
07.04.2022;96.03;98.82
06.04.2022;96.23;104.02
05.04.2022;101.96;105.59
04.04.2022;103.28;103.94
01.04.2022;99.27;101.75
31.03.2022;100.28;107.8
30.03.2022;107.82;108.75
29.03.2022;104.24;107.84
28.03.2022;105.96;112.93
25.03.2022;113.9;114.12
24.03.2022;112.34;116.64
23.03.2022;114.93;115.4
22.03.2022;111.76;115.01
21.03.2022;112.12;112.69
18.03.2022;104.7;106.28
17.03.2022;102.98;104.24
16.03.2022;95.04;99.22
15.03.2022;96.44;102.58
14.03.2022;103.01;109.72
11.03.2022;109.33;110.29
10.03.2022;106.02;114.88
09.03.2022;108.7;126.84
08.03.2022;123.7;129.44
07.03.2022;119.4;130.5
04.03.2022;115.68;116.02
03.03.2022;107.67;116.57
02.03.2022;110.6;112.51
01.03.2022;103.41;106.78
28.02.2022;95.72;99.1
25.02.2022;91.59;95.64
24.02.2022;92.81;100.54
23.02.2022;92.1;93.9
22.02.2022;92.35;96
21.02.2022;92.65;93.91
20.02.2022;91.62;91.74
18.02.2022;91.07;92.66
17.02.2022;91.76;93.36
16.02.2022;93.66;95.01
15.02.2022;92.07;95.17
14.02.2022;95.46;95.82
11.02.2022;93.1;94.66
10.02.2022;89.88;91.74
09.02.2022;89.66;90.58
08.02.2022;89.36;91.68
07.02.2022;91.32;92.73
04.02.2022;92.31;93.17
03.02.2022;90.27;90.45
02.02.2022;88.26;89.72
01.02.2022;88.2;88.87
31.01.2022;88.15;88.39
28.01.2022;86.82;88.84
27.01.2022;86.61;88.54
26.01.2022;87.35;87.95
25.01.2022;85.6;85.71
24.01.2022;83.31;86.09
21.01.2022;85.14;85.56
20.01.2022;86.9;87.82
19.01.2022;86.96;87.91
18.01.2022;85.43;86.63
17.01.2022;83.69;83.95
16.01.2022;83.83;84.09
14.01.2022;83.82;84.45
13.01.2022;82.12;82.94
12.01.2022;82.64;83.1
11.01.2022;81.22;81.59
10.01.2022;78.23;79.45
07.01.2022;78.9;80.47
