Дата;Цена;Откр.;Макс.;Мин.
31.12.2021;359.32;357.95;363.38;356.78
30.12.2021;360.99;362;364.65;359.11
29.12.2021;361.29;361.78;363.15;360.19
28.12.2021;360.78;358.79;364.14;358.41
27.12.2021;360.31;360;361.08;355.6
23.12.2021;360.58;357.54;362.47;355
22.12.2021;357.48;346.58;358.62;346.58
21.12.2021;350.74;340.33;352;339.37
20.12.2021;337.02;341.24;343.52;336.23
17.12.2021;349.31;349.19;352.79;344.12
16.12.2021;352.92;351.7;353.77;345.12
15.12.2021;346.35;340;346.59;335.53
14.12.2021;340.55;345.32;348.21;337.86
13.12.2021;345.31;349.19;349.53;340.33
10.12.2021;349.92;347;350.25;344.83
09.12.2021;344.52;340.05;346.53;339.01
08.12.2021;342.34;339.23;344.02;334.1
07.12.2021;339.51;337.3;342.42;337.3
06.12.2021;333.33;324.75;336.76;322
03.12.2021;322.11;320.24;322.68;314
02.12.2021;320.2;309.59;322.2;308.98
01.12.2021;306.28;320.78;322.02;306
30.11.2021;314.92;318;320.76;310.11
29.11.2021;323.01;330.01;331.82;318.25
26.11.2021;324.17;321.58;326.87;319
24.11.2021;340;326.95;340.36;325.02
23.11.2021;329;324.96;329.69;321.69
22.11.2021;321.3;339.8;341.48;319.76
19.11.2021;339.72;346;346.65;339.13
18.11.2021;348.22;360.73;362.48;344.58
17.11.2021;359.17;359.58;368;351.22
16.11.2021;369.56;364.77;371.07;362
15.11.2021;361.36;365.14;371.13;360.66
12.11.2021;363.5;356.06;363.84;355.93
11.11.2021;354.34;358.38;359.64;352.57
10.11.2021;357.94;350.1;359.62;349.5
09.11.2021;344.65;350;350.2;339.65
08.11.2021;349.67;348.01;353.15;347.66
05.11.2021;348.79;342.44;350.16;341
04.11.2021;335.43;331.07;338.63;329.33
03.11.2021;329.43;328.5;329.58;323.34
02.11.2021;328.48;335.13;335.77;326.7
01.11.2021;334.05;335.25;340.9;332.88
29.10.2021;335.52;331.24;338.15;331.11
28.10.2021;333.03;344.17;350.49;328.87
27.10.2021;335.72;348;351.12;333.8
26.10.2021;357.32;363.38;367.35;356.81
25.10.2021;360.86;362.46;364.3;358.79
22.10.2021;358.67;356.68;361.64;354.9
21.10.2021;356.21;354.6;356.38;347.27
20.10.2021;356.77;361.7;362.49;356
19.10.2021;362.1;358.4;362.29;357.61
18.10.2021;358.44;353.96;359.94;350.23
15.10.2021;356;349;356.61;347.74
14.10.2021;344.58;343.84;345.81;340.83
13.10.2021;342.35;346.25;349.5;336.98
12.10.2021;345.34;348.65;350;344.62
11.10.2021;347.15;353.95;354.88;346.9
08.10.2021;354.96;356;360.37;354.21
07.10.2021;353.91;349;357.9;349
06.10.2021;348.69;340.01;348.88;339.11
05.10.2021;343.21;347.56;348.57;342.93
04.10.2021;344.2;359.93;360.65;339.34
01.10.2021;360.18;349.83;363.18;347.16
30.09.2021;347.68;354.74;356;347.4
29.09.2021;353.19;352.81;357.18;352.41
28.09.2021;351.18;355.5;356;349.05
27.09.2021;356.77;357.05;362.59;355.16
24.09.2021;358.16;354.03;359.92;352.76
23.09.2021;354.07;345.74;354.79;345.2
22.09.2021;343.41;339.3;343.87;338.54
