Дата;Цена;Откр.;Макс.;Мин.
31.12.2021;216.71;216.81;217.98;215.49
30.12.2021;217.87;217.97;219.15;217.15
29.12.2021;218.17;217.76;218.94;217.33
28.12.2021;218.05;216.01;219.73;215.58
27.12.2021;217.63;217.68;218.12;214.88
23.12.2021;216.62;218.44;218.52;216.62
22.12.2021;217.96;213.85;218.94;213.85
21.12.2021;215.38;210.61;216.16;210.36
20.12.2021;208.74;209.09;209.77;206.86
17.12.2021;211.88;212.8;213.21;207.79
16.12.2021;214.37;215.29;216.27;211.61
15.12.2021;212.31;209.4;212.49;207.86
14.12.2021;209.98;210.73;213.37;208.45
13.12.2021;211.02;212.45;213.32;209.98
10.12.2021;213.4;211.9;214.25;210.86
09.12.2021;211.39;208.52;212.2;207.17
08.12.2021;208.99;207.66;209.48;205.71
07.12.2021;207.37;206;207.94;205.89
06.12.2021;202.68;198.77;204.22;197.74
03.12.2021;196.32;198.27;198.47;194.04
02.12.2021;198.29;192;199.43;191.85
01.12.2021;190.16;196.03;196.81;190.1
30.11.2021;193.77;195.27;197.66;192.56
29.11.2021;196.29;201;201.25;195.36
26.11.2021;197.65;193.32;199.19;192.55
24.11.2021;203.25;198.17;203.95;197.64
23.11.2021;198.49;196.97;198.92;194.38
22.11.2021;195.58;200;201.7;194.6
19.11.2021;200.86;202.04;203.5;199.85
18.11.2021;203.33;206.5;207.87;201.27
17.11.2021;205.06;205.95;207.31;199.46
16.11.2021;215.18;212.16;215.65;211.66
15.11.2021;212.3;213.62;216.4;211.81
12.11.2021;212.09;211.5;213.58;211.43
11.11.2021;210.42;216.47;216.78;210.16
10.11.2021;215.56;213.55;216.95;213.33
09.11.2021;213.39;219.69;220.41;212.91
08.11.2021;220.49;218.37;221.61;218.15
05.11.2021;216.67;211.95;217.63;211.36
04.11.2021;208.78;209.16;212.36;207.87
03.11.2021;208.1;209.69;210.15;206.73
02.11.2021;209.14;213.16;213.35;207.82
01.11.2021;212.46;213.49;215.25;211.45
29.10.2021;211.77;209.21;213.66;208.54
28.10.2021;209.84;219.25;219.99;209.01
27.10.2021;215.78;224.75;224.75;215.66
26.10.2021;231.82;235.53;236.96;231.33
25.10.2021;233.88;233.45;234.86;232.29
22.10.2021;231.23;230.29;232.82;228.71
21.10.2021;230.24;230.7;230.83;226.3
